IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:92:fa4f:2d09:e01b:cceb,4,4,0.00,201.95,41.22
2606:4700:0:92:fa9d:7f06:a7a1:e16,4,4,0.00,201.08,32.09
2606:4700:0:5296:37f4:96df:d3f7:1bdd,4,4,0.00,201.79,30.02
2606:4700:0:92:fa4f:2d09:4cf5:1c05,4,4,0.00,202.58,27.25
2606:4700:0:92:52a4:5020:581f:437d,4,4,0.00,202.14,27.22
2606:4700:0:92:fa4f:6f1e:ff9b:6053,4,4,0.00,201.38,24.85
2606:4700:0:92:fa9d:7f06:84ad:3fb,4,4,0.00,202.47,23.76
2606:4700:0:92:fa9d:7f06:847f:885c,4,4,0.00,202.47,23.40
2606:4700::af78:72aa,4,4,0.00,201.51,20.06
2606:4700:0:c6:5114:2241:9049:ce55,4,4,0.00,199.78,17.68
